,key,gt-1,gt-2,gt-3,gt-4,gt-5,pd1,pd2
23,battery-life_ipod_nano_8gb.txt,"['The battery life is too short.\n', 'The time between chargers is not enough.']","['The battery life of the Ipod Nano 8GB is far too short.\n', 'Battery life is not very good. Needs charging frequently.']","['The battery life of the ipod nano is very short.\n', ""It seems to continue using battery even when the ipod is not in use, otherwise, it's a great product.""]","['Battery life short, especially for video. ']","[""Battery life is very short, especially when you're recording or watching a video. ""]","[""The battery doesn't last a long time especially when you're recording or watching a video but I just listen to music most of the time and it lasts me a good length of time doing that ."", ""One thing I noticed that was not so good was the battery life, but I've only charged it once and that was on the computer  as far as I've seen my computer doen't charge well with either of my iPods so the battery life is possibly greater than I thought if using a wall outlet .""]","short battery life  I moved up from an 8gb . When you use the radio it uses a lot of battery life  i got this exact iPod for christmas . It is easy to use and has great battery life . The battery is not as strong as it should be . My only complaint with this product is that the battery doesn't last long at all
I bought the nano as a replacement for an older classic, which was a great unit but time has taken it's toll on the battery and screen ."
24,accuracy_garmin_nuvi_255W_gps.txt,"['This unit is generally quite accurate.  \n', 'Set-up and usage are considered to be very easy. \n', 'The maps can be updated, and tend to be reliable.\n']","['Its accurate, fast and its simple operations make this a for sure buy.']","['Very accurate with travel and destination time.\n', 'Negatives are not accurate with speed limits and rural roads.']","['It is very accurate, even in destination time.\n']","['The Garmin seems to be generally very accurate.\n', ""It's easy to use with an intuitive interface.""]","['0 out of 5 stars Honest, accurate review, , PLEASE READ !', ""I've used other GPS units, as well as GPS built into cars   and to this day NOTHING beats the accuracy of a Garmin GPS .""]","but for the most part, we find that the Garmin software provides accurate directions, whereever we intend to go . Because the accuracy is good to the street address level, it may not be able to guide you to the exact location if your destination is inside a shopping mall ."
25,directions_garmin_nuvi_255W_gps.txt,"['Turn-by-turn directions are accurate.\n', 'Directions are provided both on-screen and read aloud.']","['The voice directions are good, it sometime wrongly pronounce them but its understandable.\n', 'If you are in a lot of traffic you can ask it to redirect you which works fine.']","['The voice directions are good, it sometime wrongly pronounce them but its understandable.\n', 'If you are in a lot of traffic you can ask it to redirect you which works fine.']","['Directions are usually accurate and easy to understand, but not always the quickest route.']","['Directions are accurate, easy to see and understand.\n', 'The spoken directions are generally easy to understand.']","[""So, although the Nuvi doesn't verbalize those directions, I can look at the screen to see the exit I need to take ."", ""The only other annoyance of any time is that if you deviate from your route and don't indicate that you are detouring, you get to hear the Garmin repeatedly chastize you because it has to recalulate your directions .""]","You also get upscale features like spoken directions including street names and programmable POIs . It gives your heading not in terms of degres but only in terms of one of eight directions   . My only real gripes on the software interface side would be its inability to show 1, way streets on your overhead map   and that this particular model does not support the Garmin routing feature that you can sync between your PC and their more expensive models to pick multiple waypoints instead of just a point 'A' to point 'B' directions system ."
26,service_swissotel_hotel_chicago.txt,"['Service very expensive.\n', 'Staff are usually helpful and quick to respond.\n', 'Service is excellent overall.']",['Outstanding room service and a great hotel but the price was exceptionally high.'],"['Service is good, but slightly lacking when you take into consideration the price of this hotel.']","['Friendly service at front desk.\n', 'Expensive amenities (room service, fitness center, parking).']",None,"['The concierge and service line were both just okay .', '30 and they said we needed a voucher and mentioned nothing of room service, we did get the voucher and enjoyed a very good breakfast buffet in their 2nd restaurant, not the Palm like we were toldWhen we were checking out we asked why we got charged for the pool when it states the package comes with it and it says in their books in the room that its free .']","Mediocre room and service for a very extravagant price . The furniture was a little worn but the hotel's service and location made up for it . As for service issues, the concierge gave us erroneous info about the Navy Pier trolley  the maid failed to replace toiletries and towels, despite a $3 tip that had been left I normally tip $1, 2 per day and wait until the day we leave to tip the maid, but I decided to try something different this time since we were at a 4
 potential, but is probably in need of a renovation and some intense customer service training for its staff . Our last hotel stay downtown was at the Sofitel &amp  I felt the service and hotel were much better ."
27,screen_netbook_1005ha.txt,"['Screen is clear and bright.\n', 'However, the screen is smaller than most screens.\n', 'Blue screen experienced often.']","['The screen is sharp, bright but small sized.']","[""Although the screen is small, it's sharp, bright and readable.""]","['Screen quality is up to par.\n', 'A common bug is the screen going black and the computer still runs.\n', 'The screen can seem small and extremely reflective.']",None,"['I got used to the glossy screens a while ago  this one is remarkably bright and vivid .', 'The fashionable glossiness of both body and screen acquires fingerprints and smears rapidly .']",Keep in mind that once you get in a room full of light or step outdoors screen reflections could become annoying . Because the screen is so small in order to get the standard 1024x 768 display without having to scroll the normal screen the screen has to be  smashed  so the display is slightly altered .
28,comfort_honda_accord_2008.txt,"['The front seats are uncomfortable.\n', ""The contour of the driver's seat is hard your back.""]","['The 2008 honda accord has an extremely uncomfortable drivers seat.\n', 'While it is nice to drive, expect back pain, especially on long trips.']","['The driving position and the leather seats are pretty comfortable.\n', 'The overall interior is comfortable, stylish and spacious.\n', 'Back seat comfort and entry exit are great.']","['Comfort is ok, but the front seats are too firm and can be uncomfortable after sitting in them for extended periods of time.']",['The seats are not comfortable as many other cars in this segment.'],"['The car is very comfortable, the steering is tight and precise .', 'Most uncomfortable seats in any vehicle I have ever owned .']","Drivers seat not comfortable, the car itself compared to other models of similar class . My wife does say the vehicle is not as comfortable for long trips as other cars we've owned ."
29,keyboard_netbook_1005ha.txt,"['Keyboard 92% the size of a standard computer.\n', 'Awesome keyboard, large backspace and two shifts.\n', 'Easy to adjust, comfortable to use.']","['They keyboard although small is comfortable.\n', 'The keyboard is large enough for normal use.']",['Its a small keyboard but terrific and easy to use.'],"['The keyboard has a unique but functional layout.\n', 'The buttons are smaller than most net books, but easy to get used to.\n', 'The touch-pad on the keyboard is well placed and functions as expected.']","['The keyboard has a unique but functional layout.\n', 'The buttons are smaller than most net books, but easy to get used to.\n', 'The touch-pad on the keyboard is well placed and functions as expected.']","[""Speaking of which, the keyboard's relatively large size ,  at 92% of the size of a normal one ,  writing longer texts on it is no problem ."", ',  I think the new keyboard rivals the great hp mini keyboards .']",",  I think the new keyboard rivals the great hp mini keyboards . , Tiny and light the slightly smaller than standard keyboard is no problem for me to use, , and I'm a touch typist, , the keys themselves are a good size and feel good ."
30,room_holiday_inn_london.txt,['Rooms were clean but size was a problem. '],"['Room was well maintained and reasonable priced, though it was small as we expected. \n', 'Everything was comfortable and in order.']","['The room was comfortable, well lighted, and well maintained by housekeeping staff. \n', 'The style, in the common areas as well, are bland. \n', 'They appear to be renovating.']","['The rooms are small but adequate and clean. \n', 'Service is good.\n', 'Room services are expensive.']",None,"['Our room   was very comfortable, cosy and most importantly very clean .', 'In all, as with many Holiday Inns hotels worldwide, affordable with good rooms and customer service but there is always one or two issues that keep this chain from being a affordable and good place to stay .']","We arrived at 23,30 hours and they could not recommend a restaurant so we decided to go to Tesco, with very limited choices but when you are hingry you do not careNext day they rang the bell at 8,00 hours to clean the room, not being very nice being waken up so earlyEvery day they gave us a candy bar and two bottlets of water whic is a very nice touch . The room was clean but tired as were the public areas that we saw . The room size was as expected, bigger then hotels in south beach, yet smaller then some resorts in the caribbean ,  however that being said, the room size is more than enough and we had several pieces of luggage in the room ."
31,location_bestwestern_hotel_sfo.txt,"[""The hotel is in a great location, close to Fisherman's Wharf, the Trolley and cable cars.\n"", 'Good restaurants close by, too.']","['Hotel is located nicely in close proximity to Fishermans Wharf and main attractions in the area.\n', 'It has nice restaurants and rooms at reasonable price but rest rooms and bit of noise are the issues.']","[""The Best Western in San Francisco is a decent, inexpensive option for one's stay in the city.\n"", ""It's location is terrific, being near many attractions, and the rooms, while small, are clean.""]","[""It's location is terrific, being near many attractions.""]","['The location was excellent, two blocks from many major points of interest.']","['The location is within walking distance of fishermans wharf .', ""It is in a great location, 5 minute walk to Fisherman 's Wharf promenade and 5 minute walk to a tram stop .""]","Good Value good location ,  ideal choice . Perfect Location if you are Cruising from San Francisco
 The location was perfect for perusing the shops at Fishermans Wharf, we had dinner at Nicks's Lighthouse ,  the food was fine but the rest rooms were in a horrendous state, which completely put us off ."
32,video_ipod_nano_8gb.txt,"['Video camera is great.\n', 'Very easy to use.\n', 'Video quality is excellent.']",['The new Ipod nano which comes with a video camera offers decent performance with pictures and video along with the great music.'],"['The video for Ipod nano 8GB is a great addition, crystal screen with great quality for photos, video and music.']",['The video screen is very bright.'],"['The iPod takes and displays quality video.\n', 'It does not take single still pictures and this is a disappointment but not a deal breaker.']","['Holds tons of music, video, pics .', ""I haven't found anything that is not so great  This is a multi use MP3 player with the ability to make videos, music and videos .""]","I bought the 8, gig Ipod Nano that has the built, in video camera . I decided to get this iPod cause of the Memory and the Video Cam in the back ."
33,rooms_swissotel_chicago.txt,"['The rooms were somewhat dated but clean and spacious.\n', 'Comfortable beds.\n', 'Great views.']",['The rooms were very neat and clean.'],"['Rooms are nice, comfortable, clean, and well furnished.\n', 'View is excellent in many cases.']","['The rooms are clean, large and comfortable.\n', 'Not the most modern decor, however.']",None,"['The rooms were great, the staff was excellent .', 'While the rooms are a bit dated, the location is great .']","The Swissotel is one of our favorite hotels in Chicago and the corner rooms have the most fantastic views in the city . The rooms with the Navy Pier view are beautiful and the restaurant on the lower level, Currents, was an excellent dining experience ."
34,seats_honda_accord_2008.txt,"['Seats have smooth and comfortable fabric.\n', 'However, seats can be uncomfortable after a long period of time.\n', 'Seats too firm.']","['The seats are adequately comfortable, but a little firm.\n', 'Good leg space in front and back seats.']","['The front seats can be very uncomfortable, especially for long drives.\n', 'They are too firm.']","['The front seats are small, uncomfortable and not fully adjustable.\n', 'The back seats are large enough for three baby seats.']","['For those who like firm and hard seats, the 2008 Accord is comfortable.\n', 'Some people find them uncomfortable for a long drive.']","['Power seats are not fully adjustable .', 'Power seats are not fully adjustable .']","No memory seats, no trip computer, can only display outside temp with trip odometer . The black leather seats feel a bit hot on the back in the warm weather but otherwise no complaints about the interior ."
35,food_swissotel_chicago.txt,"['Overall, the food was good and reasonably priced.\n', 'The food service was good.']","['The food was very good, better than average.']","['Food was good quality.\n', 'Food was fresh and real.\n', 'Tasted excellent in most cases.']","['The presentation was awesome and the food is good.\n', ""Room service has good food quality, but it's fairly expensive.""]","['I just loved the food, it was very fresh and hygenic.']","['A nice restaurant with reasonable prices and great food .', 'Room service food quality was very good but with a $7 tray charge plus 20% service, I then absolutely refuse to tip for delivery .']","The food in the lounge was great and very fresh, , , salads, sandwiches etc . The Lobby bar does not serve food very late at night and we couldn't find any vending machines for soda or snacks, so stop at a nearby market before going in for the night ."
